"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"600","Jorge Pinheiro Koren de Lima ","49","1818"
"601","Candido Pinheiro Koren de Lima Junior ","51","1818"
"602","Qian Ying ","56","1818"
"603","Austin Russell ","27","1818"
"604","Sheryl Sandberg ","52","1818"
"605","Andres Santo Domingo ","43","1818"
"606","Michael Saylor ","57","1818"
"607","Niraj Shah ","48","1818"
"608","Keiichi Shibahara ","57","1818"
"609","Evgeny (Eugene) Shvidler ","58","1818"
"610","Ryan Smith ","43","1818"
"611","Ion Stoica ","57","1818"
"612","Tan Yu Yeh ","51","1818"
"613","Tung Ching Sai ","57","1818"
"614","Xu Guozhong & family ","58","1818"
"615","Matei Zaharia ","36","1818"
"616","Zhang Jian ","53","1818"
"617","Joachim Ante ","39","1929"
"618","Danna Azrieli ","54","1929"
"619","Naomi Azrieli ","56","1929"
"620","Lesley Bamberger ","56","1929"
"621","Bernhard Braun-Luedicke ","45","1929"
"622","Eva Maria Braun-Luedicke ","35","1929"
"623","Nikolai Buinov ","54","1929"
"624","Andres Bzurovski Bay ","44","1929"
"625","Marina Caprotti ","44","1929"
"626","Chung Yong-jin ","53","1929"
"627","Steve Conine ","49","1929"
"628","Wenjun Dai ","53","1929"
"629","Mohammed Dewji ","46","1929"
"630","Marek Dospiva ","52","1929"
"631","Henrique Dubugras ","26","1929"
"632","Egon Durban ","48","1929"
"633","Ruben Feffer ","52","1929"
"634","Feng Yuxia ","57","1929"
"635","Sergio Fogel ","58","1929"
"636","Pedro Franceschi ","25","1929"
"637","Yi Gao & family ","53","1929"
"638","Balkrishan Goenka ","55","1929"
"639","Gu Wei ","57","1929"
"640","Kenneth Hao ","53","1929"
"641","He Zhiping ","58","1929"
"642","Ilona Herlin ","57","1929"
"643","Drew Houston ","39","1929"
"644","Justin Ishbia ","44","1929"
"645","Jin Lei ","56","1929"
"646","Jin Xin ","55","1929"
"647","Jenny Just ","54","1929"
"648","Kong Jian Min ","54","1929"
"649","Christopher Kwok ","36","1929"
"650","Edward Kwok ","41","1929"
"651","Lai Jianfa ","52","1929"
"652","Lee Joon-ho ","57","1929"
"653","Zhen Li & family ","58","1929"
"654","Rongfu Lu ","51","1929"
"655","Greg Mondre ","47","1929"
"656","Jonathan Oringer ","47","1929"
"657","Niti Osathanugrah ","48","1929"
"658","Dragos Paval ","55","1929"
"659","Zach Perret ","34","1929"
"660","Karl-Johan Persson ","47","1929"
"661","Markus Persson ","42","1929"
"662","Tom Persson ","37","1929"
"663","Kevin Plank ","49","1929"
"664","Andreas Pohl ","57","1929"
"665","Qin Long ","56","1929"
"666","Mike Repole ","54","1929"
"667","Christopher Rokos ","51","1929"
"668","Yuri Shefler ","54","1929"
"669","Mikhail Shelkov ","53","1929"
"670","Charlotte Soderstrom ","45","1929"
"671","Kevin Systrom ","38","1929"
"672","Tang Binsen ","39","1929"
"673","Hary Tanoesoedibjo ","56","1929"
"674","Thomas von Koch ","56","1929"
"675","Junjin Wang ","53","1929"
"676","Wang Zelong ","25","1929"
"677","Kaiting Wu ","52","1929"
"678","Xiong Wu ","46","1929"
"679","Yang Jian ","50","1929"
"680","Xuansong Zhang ","50","1929"
"681","Chengjian Zhou ","56","1929"
"682","Tope Awotona ","40","2076"
"683","Sabrina Benetton ","48","2076"
"684","Stewart Butterfield ","49","2076"
"685","Chen Tianqiao ","48","2076"
"686","Chen Wenyuan & family ","54","2076"
"687","Thierry Cruanes ","54","2076"
"688","Benoit Dageville ","55","2076"
"689","Ding Shui Po ","51","2076"
"690","Du Shuanghua ","57","2076"
"691","Hongbo Fang ","55","2076"
"692","Maggie Hardy Knox ","56","2076"
"693","Ayman Hariri ","43","2076"
"694","William Hockey ","32","2076"
"695","Huang Guanlin ","57","2076"
"696","Jay-Z ","52","2076"
"697","Johan Johannson ","55","2076"
"698","Viktor Kharitonin ","49","2076"
"699","Mustafa Kucuk ","58","2076"
"700","Sebastian Kulczyk ","41","2076"
"701","Li Li ","58","2076"
"702","Guangwei Liang ","58","2076"
"703","Jenny Lindén Urnes ","51","2076"
"704","Vadim Moshkovich ","54","2076"
"705","Marius Nacht ","56","2076"
"706","Adam Neumann ","43","2076"
"707","Simon Nixon ","54","2076"
"708","Ranjan Pai ","49","2076"
"709","Mark Pincus ","56","2076"
"710","Alexey Repik ","42","2076"
"711","Matthew Roszak ","49","2076"
"712","Shu Ping ","52","2076"
"713","Ben Silbermann ","39","2076"
"714","Jared Smith ","47","2076"
"715","Sun Qinghuan ","48","2076"
"716","Denis Sverdlov ","43","2076"
"717","Jens von Bahr ","51","2076"
"718","Wei Lidong & family ","46","2076"
"719","Swift Xie ","42","2076"
"720","Xu Bingzhong ","48","2076"
"721","Yan Junxu ","52","2076"
"722","Zhuo Jun ","56","2076"
"723","Fredrik Österberg ","51","2076"
"724","Alexandra Andresen ","25","2190"
"725","Katharina Andresen ","26","2190"
"726","Rutger Arnhult ","54","2190"
"727","Binny Bansal ","39","2190"
"728","Sachin Bansal ","40","2190"
"729","Barbara Benetton ","52","2190"
