"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"543","Alberto Siccardi & family ","77","1292"
"544","Salil Singhal ","74","1292"
"545","Teresita Sy-Coson ","71","1292"
"546","Katsumi Tada ","76","1292"
"547","Tang Yiu ","88","1292"
"548","Lottie Tham & family ","72","1292"
"549","T.Y. Tsai ","69","1292"
"550","Peter Unger ","77","1292"
"551","Zhang Li ","69","1292"
"552","Koos Bekker ","69","1341"
"553","William Boyd & family ","90","1341"
"554","Timothy Boyle ","72","1341"
"555","Anand Burman ","69","1341"
"556","R.G. Chandramogan ","73","1341"
"557","Kommer Damen ","78","1341"
"558","Henry Davis ","71","1341"
"559","Ray Davis ","80","1341"
"560","Kenneth Feld & family ","73","1341"
"561","Serge Godin ","72","1341"
"562","Philip & Cristina Green ","70","1341"
"563","Yusuf Hamied ","85","1341"
"564","Hans-Werner Hector ","82","1341"
"565","Douglas Hsu ","79","1341"
"566","Louis Le Duff ","75","1341"
"567","Solomon Lew ","77","1341"
"568","Prayudh Mahagitsiri ","76","1341"
"569","Clayton Mathile ","81","1341"
"570","Erwin Franz Mueller ","89","1341"
"571","David Murdock ","98","1341"
"572","Rubens Ometto Silveira Mello ","72","1341"
"573","Erik Paulsson & family ","80","1341"
"574","Dirk Rossmann & family ","75","1341"
"575","Stephan Schmidheiny ","74","1341"
"576","Wenrong Shen ","76","1341"
"577","Mengquan Sun & family ","72","1341"
"578","Ted Turner ","83","1341"
"579","David Walentas ","83","1341"
"580","Zhang Wanzhen ","72","1341"
"581","Michael Ashcroft ","76","1397"
"582","Yadu Hari Dalmia & family ","74","1397"
"583","Robert Friedland ","71","1397"
"584","Phillip Frost ","85","1397"
"585","Hortensia Herrero ","71","1397"
"586","Christian Latouche ","81","1397"
"587","Lin Chang Su-O ","81","1397"
"588","Howard Marks ","75","1397"
"589","Craig McCaw ","72","1397"
"590","Vincent McMahon ","76","1397"
"591","Lang Walker ","76","1397"
"592","William Young ","81","1397"
"593","Mohamed Al Fayed ","93","1445"
"594","Faisal Bin Qassim Al Thani ","74","1445"
"595","Alberto Bombassei ","81","1445"
"596","Ron Burkle ","69","1445"
"597","Bruce Cheng ","86","1445"
"598","Dermot Desmond ","71","1445"
"599","Bob Ell ","77","1445"
"600","Lindsay Fox ","84","1445"
"601","Gordon Getty ","88","1445"
"602","Dennis Gillings ","77","1445"
"603","David Hains ","91","1445"
"604","Shmuel Harlap ","77","1445"
"605","Gerry Harvey ","82","1445"
"606","Thomas James ","79","1445"
"607","Eiichi Kuriwada ","75","1445"
"608","Lau Cho Kun ","86","1445"
"609","Narendrakumar Parekh ","83","1445"
"610","Alice Schwartz ","95","1445"
"611","Peter Sondakh ","72","1445"
"612","Timothy Springer ","74","1445"
"613","Suyu Su & family ","73","1445"
"614","Elizabeth Sy ","69","1445"
"615","Sukanto Tanoto ","72","1445"
"616","Wang Ren-sheng ","90","1445"
"617","Thomas Wu ","72","1445"
"618","S. Daniel Abraham ","97","1513"
"619","Julio Bozano ","86","1513"
"620","Herb Chambers ","80","1513"
"621","Robert Duggan ","77","1513"
"622","Maria Franca Fissolo ","87","1513"
"623","Kuan Kam Hon & family ","74","1513"
"624","Henry Laufer ","76","1513"
"625","Thomas Lee ","78","1513"
"626","Michael Lee-Chin ","71","1513"
"627","Lim Kok Thay ","70","1513"
"628","Roberto Irineu Marinho ","74","1513"
"629","Robert Miller ","88","1513"
"630","David Nahmad ","74","1513"
"631","Florentino Perez ","75","1513"
"632","Jennifer Pritzker ","71","1513"
"633","Joe Rogers, Jr. ","75","1513"
"634","Ruan Shuilong & family ","86","1513"
"635","Phil Ruffin ","87","1513"
"636","Vinod Saraf ","69","1513"
"637","Maria-Elisabeth Schaeffler-Thumann ","80","1513"
"638","Shen Xiqiang & family ","74","1513"
"639","Shi Wen-long ","94","1513"
"640","Thaksin Shinawatra ","72","1513"
"641","Wichai Thongtang ","75","1513"
"642","Michael Ying ","72","1513"
"643","Anu Aga ","79","1579"
"644","Sezai Bacaksiz ","72","1579"
"645","Kiki Barki ","82","1579"
"646","John Bloor ","78","1579"
"647","Nicola Bulgari ","81","1579"
"648","Alejandro Bulgheroni ","77","1579"
"649","Fernando Chico Pardo ","70","1579"
"650","Jose Luis Cutrale ","75","1579"
"651","Francois Feuillet & family ","73","1579"
"652","Mario Gabelli ","80","1579"
"653","Reinold Geiger ","74","1579"
"654","Roberto Hernandez Ramirez ","80","1579"
"655","Hoi Kin Hong ","69","1579"
"656","Willis Johnson ","74","1579"
"657","Keeree Kanjanapas ","71","1579"
"658","Thomas Kwok ","70","1579"
"659","Lei Jufang ","69","1579"
"660","Romano Minozzi ","87","1579"
"661","Oei Hong Leong ","74","1579"
"662","Nihat Ozdemir ","72","1579"
"663","Dwight Schar ","80","1579"
"664","Djoko Susanto ","72","1579"
"665","Sze Man Bok ","72","1579"
"666","Alain Taravella ","74","1579"
"667","Wang Chou-hsiong ","81","1579"
"668","Yuan Fugen & family ","71","1579"
"669","Leslie Alexander ","78","1645"
"670","Roberto Angelini Rossi ","73","1645"
"671","Chen Xueli ","70","1645"
"672","James France ","77","1645"
"673","Yasuhiro Fukushima ","74","1645"
"674","Zhongru Gan ","73","1645"
"675","Rahul Gautam ","69","1645"
"676","Christopher Goldsbury ","79","1645"
"677","Alexandre Grendene Bartelle ","72","1645"
"678","Surjit Kumar Gupta ","80","1645"
"679","David Hindawi ","77","1645"
"680","Stanley Hubbard ","88","1645"
"681","Hal Jackman ","89","1645"
"682","Stephen Jarislowsky ","96","1645"
"683","George Joseph ","100","1645"
"684","Michiel Le Roux ","72","1645"
"685","Wolfgang Leitner ","69","1645"
"686","Bill Malhotra ","72","1645"
"687","George Marcus ","80","1645"
"688","Gary Michelson ","73","1645"
"689","Robert G. Miller ","76","1645"
"690","Fernando Roberto Moreira Salles ","75","1645"
"691","Mrudula Parekh ","74","1645"
"692","Phillip T. (Terry) Ragon ","72","1645"
"693","G. Rajendran ","79","1645"
"694","Krit Ratanarak ","75","1645"
"695","Jerry Reinsdorf ","86","1645"
"696","Mochtar Riady & family ","92","1645"
"697","Rajju Shroff ","88","1645"
"698","Zhenghua Wang ","77","1645"
"699","Charlotte Colket Weber ","79","1645"
"700","Elaine Wynn ","79","1645"
"701","Xuexin Zhang & family ","74","1645"
"702","Zadik Bino & family ","78","1729"
"703","David Booth ","76","1729"
"704","Josef Boquoi & family ","88","1729"
"705","Mingtong Cai ","70","1729"
"706","Chen Yung-tai ","86","1729"
"707","Phongthep Chiaravanont ","70","1729"
"708","Dulce Pugliese de Godoy Bueno ","74","1729"
"709","Donald Foss ","77","1729"
"710","G. Gnanalingam ","77","1729"
"711","William Heinecke ","72","1729"
"712","Lee Joong-keun ","81","1729"
"713","James Leininger ","77","1729"
"714","Bruce Mathieson ","78","1729"
"715","Billy Joe (Red) McCombs ","94","1729"
"716","Mario Moretti Polegato & family ","69","1729"
"717","Alberto Palatchi ","72","1729"
"718","Nelson Peltz ","79","1729"
"719","Jorge Perez ","72","1729"
