"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"436","Peter Grogg ",80,"Healthcare ",2.3,"2021 - 2022",0,"2015 - 2016"
"437","Huang Yi ",60,"Automotive ",2.3,"2020 - 2021",0,"2015 - 2016"
"438","Yang Shaopeng ",64,"Logistics ",2.3,"2020 - 2021",0,"2015 - 2016"
"439","Andrei Skoch & family ",56,"Metals & Mining ",2.3,"2020 - 2021",-3.9,"2021 - 2022"
"440","Yu Yong ",61,"Finance & Investments ",2.3,"2020 - 2021",-0.6,"2015 - 2016"
"441","Xie Liangzhi & family ",56,"Healthcare ",2.3,"2021 - 2022",0,"2015 - 2016"
"442","W. Herbert Hunt ",93,"Energy ",2.3,"2021 - 2022",0,"2015 - 2016"
"443","Bernard Broermann ",78,"Healthcare ",2.3,"2020 - 2021",-1,"2016 - 2017"
"444","Ajay Piramal ",66,"Healthcare ",2.3,"2020 - 2021",-2.68,"2019 - 2020"
"445","Kerry Stokes ",81,"Diversified ",2.3,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"446","Lee Boo-jin ",51,"Service ",2.3,"2021 - 2022",-0.3,"2015 - 2016"
"447","Alan Trefler ",66,"Technology ",2.3,"2020 - 2021",-1.9,"2021 - 2022"
"448","Dong Fan ",52,"Healthcare ",2.3,"2020 - 2021",-1.8,"2021 - 2022"
"449","Vivek Chaand Sehgal ",65,"Automotive ",2.3,"2017 - 2018",-0.9,"2021 - 2022"
"450","Liu Xiaodong ",54,"Manufacturing ",2.3,"2020 - 2021",-1,"2021 - 2022"
"451","Gordon Moore ",93,"Technology ",2.3,"2020 - 2021",-2.6,"2021 - 2022"
"452","Alain Merieux & family ",84,"Healthcare ",2.3,"2020 - 2021",-1.5,"2021 - 2022"
"453","Ronda Stryker ",67,"Healthcare ",2.2,"2020 - 2021",-1.52,"2019 - 2020"
"454","Hong Ra-hee ",76,"Technology ",2.2,"2021 - 2022",-0.4,"2015 - 2016"
"455","Sri Prakash Lohia ",69,"Manufacturing ",2.2,"2020 - 2021",-0.5,"2015 - 2016"
"456","Michal Solowow ",59,"Finance & Investments ",2.2,"2021 - 2022",-0.2,"2015 - 2016"
"457","Ivar Tollefsen ",60,"Real Estate ",2.2,"2021 - 2022",0,"2015 - 2016"
"458","Teh Hong Piow ",92,"Finance & Investments ",2.2,"2020 - 2021",-3.93,"2019 - 2020"
"459","John Brown ",87,"Healthcare ",2.2,"2020 - 2021",-0.94,"2019 - 2020"
"460","Jim Davis & family ",78,"Manufacturing ",2.2,"2020 - 2021",-1.5,"2021 - 2022"
"461","Li Liangbin ",54,"Manufacturing ",2.2,"2020 - 2021",0,"2015 - 2016"
"462","Hiroshi Mikitani ",57,"Fashion & Retail ",2.2,"2020 - 2021",-3.1,"2015 - 2016"
"463","Ron Baron ",78,"Finance & Investments ",2.2,"2020 - 2021",-0.1,"2015 - 2016"
"464","Giuseppe De'Longhi & family ",82,"Fashion & Retail ",2.2,"2020 - 2021",-0.8,"2021 - 2022"
"465","Somphote Ahunai ",54,"Energy ",2.2,"2017 - 2018",0,"2015 - 2016"
"466","Hu Kaijun ",60,"Healthcare ",2.2,"2020 - 2021",-0.1,"2016 - 2017"
"467","Wesley Edens ",60,"Finance & Investments ",2.2,"2021 - 2022",0,"2015 - 2016"
"468","Ye Xiaoping ",59,"Healthcare ",2.2,"2020 - 2021",-1.2,"2021 - 2022"
"469","Christoph Zeller ",64,"Healthcare ",2.2,"2020 - 2021",-3.2,"2021 - 2022"
"470","Martin Lau ",49,"Technology ",2.2,"2020 - 2021",-2,"2021 - 2022"
"471","Xu Shugen ",56,"Manufacturing ",2.2,"2020 - 2021",-1.6,"2021 - 2022"
"472","Lim Wee Chai ",64,"Manufacturing ",2.2,"2020 - 2021",-1.9,"2021 - 2022"
"473","Pierre Chen ",65,"Technology ",2.2,"2020 - 2021",-0.399999999999999,"2021 - 2022"
"474","Hubert Burda ",82,"Media & Entertainment ",2.2,"2017 - 2018",-0.6,"2016 - 2017"
"475","Euisun Chung ",51,"Logistics ",2.2,"2020 - 2021",-0.8,"2021 - 2022"
"476","Sergei Gordeev ",49,"Real Estate ",2.2,"2020 - 2021",-2.2,"2021 - 2022"
"477","Rahel Blocher ",46,"Manufacturing ",2.2,"2020 - 2021",-0.74,"2018 - 2019"
"478","James Irving ",94,"Diversified ",2.2,"2016 - 2017",-1.1,"2015 - 2016"
"479","Nancy Walton Laurie ",70,"Fashion & Retail ",2.17,"2019 - 2020",-0.87,"2018 - 2019"
"480","Lynn Schusterman ",83,"Energy ",2.15,"2018 - 2019",-1.95,"2019 - 2020"
"481","Gustav Magnar Witzoe ",28,"Food & Beverage ",2.1,"2020 - 2021",0,"2015 - 2016"
"482","Ralph Dommermuth ",58,"Technology ",2.1,"2017 - 2018",-1,"2021 - 2022"
"483","Isaac Perlmutter ",79,"Media & Entertainment ",2.1,"2020 - 2021",-0.9,"2021 - 2022"
"484","Michael Pieper ",76,"Manufacturing ",2.1,"2020 - 2021",-0.100000000000001,"2017 - 2018"
"485","Leonid Boguslavsky ",70,"Finance & Investments ",2.1,"2020 - 2021",-0.0999999999999999,"2016 - 2017"
"486","Michael Ashley ",57,"Fashion & Retail ",2.1,"2021 - 2022",-1.4,"2015 - 2016"
"487","Arthur Irving ",92,"Energy ",2.1,"2021 - 2022",-2.91,"2019 - 2020"
"488","Pankaj Patel ",69,"Healthcare ",2.1,"2020 - 2021",-1,"2021 - 2022"
"489","Candido Pinheiro Koren de Lima ",75,"Healthcare ",2.1,"2020 - 2021",-0.5,"2021 - 2022"
"490","Bom Kim ",43,"Technology ",2.1,"2021 - 2022",0,"2015 - 2016"
"491","Arnout Schuijff ",54,"Technology ",2.1,"2020 - 2021",-0.6,"2021 - 2022"
"492","Dong Wei ",51,"Healthcare ",2.1,"2020 - 2021",-2.9,"2021 - 2022"
"493","Maria-Elisabeth Schaeffler-Thumann ",80,"Automotive ",2.1,"2020 - 2021",-1.7,"2021 - 2022"
"494","Luis Carlos Sarmiento ",89,"Finance & Investments ",2.1,"2016 - 2017",-4.5,"2015 - 2016"
"495","Georg Stumpf ",49,"Diversified ",2.1,"2020 - 2021",0,"2015 - 2016"
"496","Henry Kravis ",78,"Finance & Investments ",2.1,"2020 - 2021",-1,"2015 - 2016"
"497","Magdalena Martullo-Blocher ",53,"Manufacturing ",2.1,"2020 - 2021",-0.64,"2018 - 2019"
"498","David Steward ",70,"Technology ",2.1,"2021 - 2022",0,"2015 - 2016"
"499","Les Wexner & family ",84,"Fashion & Retail ",2.1,"2020 - 2021",-0.3,"2021 - 2022"
"500","Alexander Abramov ",63,"Metals & Mining ",2.1,"2020 - 2021",-2.1,"2021 - 2022"
"501","Luciano Hang ",59,"Fashion & Retail ",2.1,"2021 - 2022",-0.9,"2020 - 2021"
"502","Antti Herlin ",65,"Manufacturing ",2.1,"2020 - 2021",-2.2,"2021 - 2022"
"503","Katharina Otto-Bernstein ",58,"Real Estate ",2.1,"2020 - 2021",-0.3,"2021 - 2022"
"504","Cho Tak Wong ",75,"Manufacturing ",2.1,"2020 - 2021",-0.5,"2021 - 2022"
"505","Maren Otto ",64,"Diversified ",2.1,"2020 - 2021",-0.3,"2021 - 2022"
"506","Peter Gassner ",57,"Technology ",2.1,"2020 - 2021",-1.5,"2021 - 2022"
"507","Joseph Edelman ",66,"Finance & Investments ",2.1,"2020 - 2021",-0.4,"2021 - 2022"
"508","Lai Jianping ",64,"Food & Beverage ",2.1,"2020 - 2021",-1,"2021 - 2022"
"509","Ji Qi ",55,"Real Estate ",2.1,"2020 - 2021",-2.1,"2021 - 2022"
"510","Pollyanna Chu ",64,"Finance & Investments ",2.1,"2017 - 2018",2.1,"2018 - 2019"
"511","Henry Laufer ",76,"Finance & Investments ",2.03,"2018 - 2019",-1.93,"2019 - 2020"
"512","Jerry Jones ",79,"Sports ",2.01,"2019 - 2020",0.2,"2016 - 2017"
"513","Abdulsamad Rabiu ",61,"Diversified ",2,"2020 - 2021",0.1,"2016 - 2017"
"514","Yang Jianliang & family ",52,"Manufacturing ",2,"2021 - 2022",0,"2015 - 2016"
"515","Zhang Daocai ",72,"Diversified ",2,"2020 - 2021",-1.2,"2021 - 2022"
"516","Hinduja brothers ",64,"Diversified ",2,"2020 - 2021",-2.2,"2021 - 2022"
"517","Leon Black ",70,"Finance & Investments ",2,"2020 - 2021",-0.8,"2015 - 2016"
"518","Andrew Beal ",69,"Finance & Investments ",2,"2021 - 2022",-2.3,"2015 - 2016"
"519","Jan Koum ",46,"Technology ",2,"2015 - 2016",-1,"2019 - 2020"
"520","Eric Wittouck ",75,"Finance & Investments ",2,"2020 - 2021",-1,"2021 - 2022"
"521","Francis Choi ",74,"Real Estate ",2,"2015 - 2016",-1.6,"2018 - 2019"
"522","Christopher Hohn ",55,"Finance & Investments ",2,"2021 - 2022",0,"2015 - 2016"
"523","John Malone ",81,"Media & Entertainment ",2,"2020 - 2021",-2.88,"2019 - 2020"
"524","Leonard Stern ",84,"Real Estate ",2,"2021 - 2022",-1.3,"2015 - 2016"
"525","Fredrik Lundberg ",70,"Real Estate ",2,"2020 - 2021",-0.7,"2021 - 2022"
"526","Wolfgang Reimann ",69,"Fashion & Retail ",2,"2021 - 2022",-0.9,"2020 - 2021"
"527","Matthias Reimann-Andersen ",57,"Fashion & Retail ",2,"2021 - 2022",-0.9,"2020 - 2021"
"528","Stefan Reimann-Andersen ",58,"Fashion & Retail ",2,"2021 - 2022",-0.9,"2020 - 2021"
"529","Renate Reimann-Haas ",70,"Fashion & Retail ",2,"2021 - 2022",-0.9,"2020 - 2021"
"530","Clive Calder ",75,"Media & Entertainment ",2,"2015 - 2016",0,"2016 - 2017"
"531","Neil Bluhm ",84,"Real Estate ",2,"2020 - 2021",-0.2,"2021 - 2022"
"532","Viktor Vekselberg ",64,"Energy ",2,"2017 - 2018",-3.7,"2015 - 2016"
"533","Denise Coates ",54,"Gambling & Casinos ",2,"2020 - 2021",-1.2,"2021 - 2022"
"534","Nathan Kirsh ",90,"Fashion & Retail ",2,"2020 - 2021",-0.2,"2015 - 2016"
"535","Ben Chestnut ",47,"Technology ",2,"2021 - 2022",0,"2015 - 2016"
"536","Dan Kurzius ",50,"Technology ",2,"2021 - 2022",0,"2015 - 2016"
"537","Lai Meisong ",51,"Logistics ",2,"2020 - 2021",-2.6,"2021 - 2022"
"538","Murat Ulker ",63,"Food & Beverage ",2,"2020 - 2021",-1.6,"2021 - 2022"
"539","Mark Walter ",61,"Finance & Investments ",2,"2020 - 2021",-0.4,"2021 - 2022"
"540","Peter Spuhler ",62,"Manufacturing ",2,"2021 - 2022",-1.1,"2015 - 2016"
"541","Miguel Fluxa Rossello ",83,"Service ",2,"2021 - 2022",0,"2015 - 2016"
"542","Jim Koch ",72,"Food & Beverage ",2,"2020 - 2021",-1.7,"2021 - 2022"
"543","Bruce Flatt ",56,"Finance & Investments ",2,"2021 - 2022",0,"2015 - 2016"
"544","Gustavo Denegri ",85,"Healthcare ",2,"2020 - 2021",-1.4,"2021 - 2022"
"545","David Shaw ",71,"Finance & Investments ",1.98,"2019 - 2020",-1.08,"2018 - 2019"
"546","John Overdeck ",52,"Finance & Investments ",1.98,"2019 - 2020",-0.78,"2018 - 2019"
"547","David Siegel ",60,"Finance & Investments ",1.98,"2019 - 2020",-0.78,"2018 - 2019"
"548","Frank Wang ",41,"Technology ",1.92,"2018 - 2019",-0.4,"2017 - 2018"
"549","David Geffen ",79,"Media & Entertainment ",1.9,"2020 - 2021",-0.470000000000001,"2019 - 2020"
"550","Frederik Paulsen ",71,"Healthcare ",1.9,"2020 - 2021",-0.77,"2019 - 2020"
