"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"359","Angela Leong ",61,"Real Estate ",2.7,"2016 - 2017",-0.6,"2021 - 2022"
"360","John Menard, Jr. ",82,"Fashion & Retail ",2.7,"2020 - 2021",1.3,"2018 - 2019"
"361","Diane Hendricks ",75,"Construction & Engineering ",2.7,"2021 - 2022",-1.2,"2016 - 2017"
"362","Laurene Powell Jobs & family ",58,"Technology ",2.6,"2020 - 2021",-2.6,"2021 - 2022"
"363","Bernard Marcus ",92,"Fashion & Retail ",2.6,"2020 - 2021",-0.5,"2015 - 2016"
"364","Marc Benioff ",57,"Technology ",2.6,"2020 - 2021",-0.96,"2019 - 2020"
"365","Peter Thiel ",54,"Finance & Investments ",2.6,"2020 - 2021",-0.2,"2017 - 2018"
"366","Nicolas Puech ",79,"Fashion & Retail ",2.6,"2020 - 2021",0.5,"2018 - 2019"
"367","Zhou Bajin ",86,"Manufacturing ",2.6,"2020 - 2021",-0.9,"2021 - 2022"
"368","Low Tuck Kwong ",73,"Energy ",2.6,"2021 - 2022",0,"2015 - 2016"
"369","Todd Wanek ",58,"Manufacturing ",2.6,"2020 - 2021",-0.3,"2021 - 2022"
"370","Laurent Dassault ",68,"Diversified ",2.6,"2020 - 2021",0,"2015 - 2016"
"371","Thierry Dassault ",65,"Diversified ",2.6,"2020 - 2021",0,"2015 - 2016"
"372","Sofie Kirk Kristiansen ",46,"Manufacturing ",2.6,"2020 - 2021",-0.5,"2021 - 2022"
"373","Thomas Kirk Kristiansen ",43,"Manufacturing ",2.6,"2020 - 2021",-0.5,"2021 - 2022"
"374","Agnete Kirk Thinggaard ",38,"Manufacturing ",2.6,"2020 - 2021",-0.5,"2021 - 2022"
"375","Henry Samueli ",67,"Technology ",2.6,"2020 - 2021",0.2,"2017 - 2018"
"376","Hui Wing Mau ",71,"Real Estate ",2.6,"2017 - 2018",-4.9,"2021 - 2022"
"377","Daniel Ek ",39,"Technology ",2.6,"2020 - 2021",-2.2,"2021 - 2022"
"378","Iskander Makhmudov ",58,"Metals & Mining ",2.57,"2019 - 2020",-6.1,"2021 - 2022"
"379","Nick Caporella ",86,"Food & Beverage ",2.5,"2020 - 2021",-1,"2021 - 2022"
"380","Wang Yusuo & family ",58,"Energy ",2.5,"2020 - 2021",-3.4,"2021 - 2022"
"381","David Tepper ",64,"Finance & Investments ",2.5,"2020 - 2021",-0.4,"2016 - 2017"
"382","Mikhail Fridman ",57,"Energy ",2.5,"2020 - 2021",-3.7,"2021 - 2022"
"383","Stanley Kroenke ",74,"Sports ",2.5,"2021 - 2022",-1.8,"2020 - 2021"
"384","Johann Rupert & family ",71,"Fashion & Retail ",2.5,"2020 - 2021",0,"2015 - 2016"
"385","Jim Kennedy ",74,"Media & Entertainment ",2.5,"2016 - 2017",-4.43,"2018 - 2019"
"386","Blair Parry-Okeden ",71,"Media & Entertainment ",2.5,"2016 - 2017",-4.43,"2018 - 2019"
"387","Yuri Milner ",60,"Finance & Investments ",2.5,"2021 - 2022",-0.4,"2015 - 2016"
"388","Law Kar Po ",73,"Real Estate ",2.5,"2015 - 2016",-0.3,"2017 - 2018"
"389","Mitchell Rales ",65,"Manufacturing ",2.5,"2020 - 2021",-1,"2017 - 2018"
"390","Tse Ping ",70,"Healthcare ",2.5,"2017 - 2018",-3.2,"2021 - 2022"
"391","John Reece ",65,"Manufacturing ",2.5,"2017 - 2018",-1.32,"2019 - 2020"
"392","Andrew Currie ",66,"Manufacturing ",2.5,"2017 - 2018",-1.28,"2019 - 2020"
